"title","barcode"
"ANGEL 2.3","00250143"
"ANGEL 2.4","00250144"
"ANGEL 2.5","00250145"
"ANGEL 2.6","00250146"
"ANGEL 3.1","00250220"
"ANGEL 3.2","00250221"
"ANGEL 3.3","00250222"
"ANGEL 3.4","00250223"
"ANGEL 3.5","00250224"
"ANGEL 3.6","00250225"
"ANGEL 4.1","00250654"
"ANGEL 4.2","00250655"
"ANGEL 4.3","00250656"
"ANGEL 4.4","00250657"
"ANGEL 4.5","00250658"
"ANGEL 4.6","00250659"
"ANGEL 5.1","00251059"
"ANGEL 5.2","00251060"
"ANGEL 5.3","00251061"
"ANGEL 5.4","00251062"
"ANGEL 5.5","00251063"
"ANGEL 5.6","00251064"
"ANGELS IN AMERICA 1","00197196"
"ANGELS IN AMERICA 2","00197379"
"ANIMAL KINGDOM 1.1","00252399"
"ANIMAL KINGDOM 1.2","00252400"
"ANIMAL KINGDOM 1.3","00252401"
"ANIMANIACS 1.1","00210310"
"ANIMANIACS 1.2","00210311"
"ANIMANIACS 1.3","00210312"
"ANIMANIACS 1.4","00210313"
"ANIMANIACS 1.5","00210314"
"AQUA TEEN HUNGER FORCE 1.1","00193355"
"AQUA TEEN HUNGER FORCE 1.2","00193356"
"AQUA TEEN HUNGER FORCE 2.1","00196166"
"AQUA TEEN HUNGER FORCE 2.2","00196168"
"AQUA TEEN HUNGER FORCE 3","00198595"
"AQUA TEEN HUNGER FORCE 4.1","00205690"
"AQUA TEEN HUNGER FORCE 4.2","00205691"
"AQUA TEEN HUNGER FORCE 5.1","00219857"
"AQUA TEEN HUNGER FORCE 5.2","00219858"
"AQUA TEEN HUNGER FORCE 6","00224680"
"AQUA TEEN HUNGER FORCE 7","00235279"
"ARCHER 1.1","00238339"
"ARCHER 1.2","00238340"
"ARCHER 2.1","00242297"
"ARCHER 2.2","00242298"
"ARCHER 3.2","00246003"
"ARCHER 4.1","00247279"
"ARCHER 4.2","00247280"
"ARCHER 5.1","00248869"
"ARCHER 5.2","00248870"
"ARCHER 6.1","00251160"
"ARCHER 6.2","00251161"
"ARCHER 7.1","00252312"
"ARCHER 7.2","00252313"
"ARCHER 8.1","00253210"
"ARCHER 8.2","00253211"
"ARCHER 9","00254056"
"ARRESTED DEVELOPMENT 1.1","00208957"
"ARRESTED DEVELOPMENT 1.2","00208453"
"ARRESTED DEVELOPMENT 1.3","00208454"
"ARRESTED DEVELOPMENT 2.1","00208801"
"ARRESTED DEVELOPMENT 2.2","00204669"
"ARRESTED DEVELOPMENT 2.3","00208803"
"ARRESTED DEVELOPMENT 3.1","00210216"
"ARRESTED DEVELOPMENT 3.2","00210406"
"ARRESTED DEVELOPMENT 4.1","00248820"
"ARRESTED DEVELOPMENT 4.2","00248825"
"ARRESTED DEVELOPMENT 4.3","00248828"
"ASH VS EVIL DEAD 1.1","00251626"
"ASH VS EVIL DEAD 1.2","00251627"
"ASH VS EVIL DEAD 2.1","00252658"
"ASH VS EVIL DEAD 2.2","00252659"
"ASH VS EVIL DEAD 3.1","00253629"
"ASH VS EVIL DEAD 3.2","00253630"
"ATLANTA 1.1","00253445"
"ATLANTA 1.2","00253446"
"AVATAR THE LAST AIRBENDER: EARTH 1","00236170"
"AVATAR THE LAST AIRBENDER: EARTH 2","00236171"
"AVATAR THE LAST AIRBENDER: EARTH 3","00236172"
"AVATAR THE LAST AIRBENDER: EARTH 4","00236213"
"AVATAR THE LAST AIRBENDER: FIRE 1","00236909"
"AVATAR THE LAST AIRBENDER: FIRE 2","00244441"
"AVATAR THE LAST AIRBENDER: FIRE 3","00244525"
"AVATAR THE LAST AIRBENDER: FIRE 4","00237001"
"AVATAR THE LAST AIRBENDER: WATER 1","00221403"
"AVATAR THE LAST AIRBENDER: WATER 2","00221404"
"AVATAR THE LAST AIRBENDER: WATER 3","00221405"
"AVATAR THE LAST AIRBENDER: WATER 4","00209581"
"AVATAR THE LAST AIRBENDER: WATER 5","00233132"
"AWKWARD 1","00244509"
"AWKWARD 2","00244510"
"BABYLON 5 1.1","00205406"
"BABYLON 5 1.2","00212922"
"BABYLON 5 1.3","00205408"
"BABYLON 5 1.4","00205409"
"BABYLON 5 1.5","00205410"
"BABYLON 5 1.6","00205411"
"BABYLON 5 2.1","00183747"
"BABYLON 5 2.2","00183748"
"BABYLON 5 2.3","00183749"
"BABYLON 5 2.4","00183750"
"BABYLON 5 2.5","00183751"
"BABYLON 5 2.6","00183752"
"BABYLON 5 3.1","00191798"
"BABYLON 5 3.2","00191799"
"BABYLON 5 3.3","00191800"
"BABYLON 5 3.4","00191801"
"BABYLON 5 3.5","00191802"
"BABYLON 5 3.6","00191803"
"BABYLON 5 4.1","00193828"
"BABYLON 5 4.2","00193829"
"BABYLON 5 4.3","00193830"
"BABYLON 5 4.4","00193831"
"BABYLON 5 4.5","00193832"
"BABYLON 5 4.6","00193833"
"BABYLON 5 5.1","00195733"
"BABYLON 5 5.2","00195735"
"BABYLON 5 5.3","00195736"
"BABYLON 5 5.4","00195738"
"BABYLON 5 5.5","00195739"
"BABYLON 5 5.6","00195740"
"BAND OF BROTHERS 1","00189196"
"BAND OF BROTHERS 2","00189197"
"BAND OF BROTHERS 3","00189198"
"BAND OF BROTHERS 4","00189199"
"BAND OF BROTHERS 5","00189200"
"BARRY 1","00253675"
"BATES MOTEL 1.1","00246543"
"BATES MOTEL 1.2","00246544"
"BATES MOTEL 1.3","00246545"
"BATES MOTEL 2.1","00248325"
"BATES MOTEL 2.2","00248326"
"BATES MOTEL 2.3","00248327"
"BATES MOTEL 3.1","00250356"
"BATES MOTEL 3.2","00250357"
"BATES MOTEL 3.3","00250358"
"BATES MOTEL 4.1","00252314"
"BATES MOTEL 4.2","00252315"
"BATES MOTEL 4.3","00252316"
"BATTLESTAR GALACTICA 1.1","00226550"
"BATTLESTAR GALACTICA 1.1","00232687"
"BATTLESTAR GALACTICA 1.2","00232686"
"BATTLESTAR GALACTICA 1.3","00232688"
"BATTLESTAR GALACTICA 1.4","00232784"
"BATTLESTAR GALACTICA 2.1","00226673"
"BATTLESTAR GALACTICA 2.2","00226674"
"BATTLESTAR GALACTICA 2.3","00226675"
"BATTLESTAR GALACTICA 2.4","00227415"
"BATTLESTAR GALACTICA 2.5","00225026"
"BATTLESTAR GALACTICA 2.6","00226547"
"BATTLESTAR GALACTICA 2.6","00227416"
"BATTLESTAR GALACTICA 3.1","00226544"
"BATTLESTAR GALACTICA 3.2","00226543"
"BATTLESTAR GALACTICA 3.3","00226542"
"BATTLESTAR GALACTICA 3.4","00226541"
"BATTLESTAR GALACTICA 3.5","00226540"
"BATTLESTAR GALACTICA 3.6","00226539"
"BATTLESTAR GALACTICA 4.1 (RAZOR)","00224869"
"BATTLESTAR GALACTICA 4.2","00224871"
"BATTLESTAR GALACTICA 4.3","00225148"
"BATTLESTAR GALACTICA 4.4","00224875"
"BATTLESTAR GALACTICA 4.5","00228961"
"BATTLESTAR GALACTICA 4.5","00229061"
"BATTLESTAR GALACTICA 4.6","00228962"
"BATTLESTAR GALACTICA 4.6","00232634"
"BATTLESTAR GALACTICA 4.7","00229065"
"BATTLESTAR GALACTICA 4.7","00232635"
"BATTLESTAR GALACTICA 4.8","00232636"
"BATTLESTAR GALACTICA: BLOOD & CHROME","00245522"
"BATTLESTAR GALACTICA: BLOOD & CHROME (BD","00245523"
"BEAVIS & BUTTHEAD 2.1","00253740"
"BEAVIS & BUTTHEAD 2.2","00253741"
"BEING HUMAN 1.1","00235974"
"BEING HUMAN 1.2","00235973"
"BEING HUMAN 2.1","00237151"
"BEING HUMAN 2.2","00237152"
"BEING HUMAN 2.3","00237153"
"BEING HUMAN 3.1","00240716"
"BEING HUMAN 3.2","00240717"
"BEING HUMAN 3.3","00240718"
"BETTER CALL SAUL 1.1","00250492"
"BETTER CALL SAUL 1.1","00250493"
"BETTER CALL SAUL 1.2","00250494"
"BETTER CALL SAUL 1.2","00250495"
"BETTER CALL SAUL 1.3","00250496"
"BETTER CALL SAUL 1.3","00250497"
"BETTER CALL SAUL 2.1","00251900"
"BETTER CALL SAUL 2.1","00251901"
"BETTER CALL SAUL 2.1","00252422"
"BETTER CALL SAUL 2.2","00251902"
"BETTER CALL SAUL 2.2","00251903"
"BETTER CALL SAUL 2.2","00252423"
"BETTER CALL SAUL 2.3","00251904"
"BETTER CALL SAUL 2.3","00251905"
"BETTER CALL SAUL 2.3","00252424"
"BETTER CALL SAUL 3.1","00253051"
"BETTER CALL SAUL 3.2","00253052"
"BETTER CALL SAUL 3.3","00253053"
"BETTER CALL SAUL 4.1","00254128"
"BETTER CALL SAUL 4.2","00254129"
"BETTER CALL SAUL 4.3","00254130"
"BIG BANG THEORY 1.1","00247651"
"BIG BANG THEORY 1.2","00237970"
"BIG BANG THEORY 1.3","00237971"
"BIG BANG THEORY 2.1","00230064"
"BIG BANG THEORY 2.2","00233454"
"BIG BANG THEORY 2.3","00233455"
"BIG BANG THEORY 2.4","00233456"
"BIG BANG THEORY 3.1","00236803"
"BIG BANG THEORY 3.2","00236805"
"BIG BANG THEORY 3.3","00236807"
"BIG BANG THEORY 4.1","00240858"
"BIG BANG THEORY 4.2","00240859"
"BIG BANG THEORY 4.3","00240860"
"BIG BANG THEORY 5.1","00244145"
"BIG BANG THEORY 5.2","00244146"
"BIG BANG THEORY 5.3","00244147"
"BIG BANG THEORY 6.1","00246456"
"BIG BANG THEORY 6.2","00246457"
"BIG BANG THEORY 6.3","00246458"
"BIG BANG THEORY 7.1","00248183"
"BIG BANG THEORY 7.2","00248184"
"BIG BANG THEORY 7.3","00248185"
"BIG BANG THEORY 8.1","00250226"
"BIG BANG THEORY 8.2","00250227"
"BIG BANG THEORY 8.3","00250228"
"BIG BANG THEORY 9.1","00251704"
"BIG BANG THEORY 9.2","00251705"
"BIG BANG THEORY 9.3","00251706"
"BIG LITTLE LIES 1.1","00252612"
"BIG LITTLE LIES 1.2","00252613"
"BIG LITTLE LIES 1.3","00252614"
"BIG LITTLE LIES 2.1","00254482"
"BIG LITTLE LIES 2.2","00254483"
"BILLIONS 1.1","00254099"
"BILLIONS 1.2","00254100"
"BILLIONS 1.3","00254101"
"BILLIONS 1.4","00254102"
"BILLIONS 2.1","00254131"
"BILLIONS 2.2","00254132"
"BILLIONS 2.3","00254133"
"BILLIONS 2.4","00254134"
"BILLIONS 3.1","00254484"
"BILLIONS 3.2","00254485"
"BILLIONS 3.3","00254486"
"BILLIONS 3.4","00254487"
"BIT OF FRY & LAURIE 1","00210121"
"BIT OF FRY & LAURIE 2","00214751"
"BIT OF FRY & LAURIE 3","00219150"
"BIT OF FRY & LAURIE 4","00219151"
"BLACK ADDER 1","00173818"
"BLACK ADDER 2","00173819"
"BLACK ADDER 3","00173820"
"BLACK ADDER 4","00228159"
"BLACK BOOKS 1","00206243"
"BLACK BOOKS 2","00211842"
"BLACK BOOKS 3","00218827"
"BLACKLIST 1.1","00248329"
"BLACKLIST 1.2","00248330"
"BLACKLIST 1.3","00248331"
"BLACKLIST 1.5","00248333"
"BLACKLIST 2.1","00250061"
"BLACKLIST 2.2","00250062"
"BLACKLIST 2.3","00250063"
"BLACKLIST 2.4","00250064"
"BLACKLIST 2.5","00250065"
"BOARDWALK EMPIRE 1.1","00242074"
"BOARDWALK EMPIRE 1.2","00242078"
"BOARDWALK EMPIRE 1.3","00242085"
"BOARDWALK EMPIRE 1.4","00242089"
"BOARDWALK EMPIRE 1.5","00242093"
"BOARDWALK EMPIRE 2.1","00243990"
"BOARDWALK EMPIRE 2.2","00243997"
"BOARDWALK EMPIRE 2.3","00244000"
"BOARDWALK EMPIRE 2.4","00244004"
"BOARDWALK EMPIRE 3.1","00246301"
"BOARDWALK EMPIRE 3.2","00246303"
"BOARDWALK EMPIRE 3.3","00246306"
"BOARDWALK EMPIRE 3.4","00246310"
"BOARDWALK EMPIRE 3.5","00246314"
"BOARDWALK EMPIRE 4.1","00248023"
"BOARDWALK EMPIRE 4.2","00248025"
"BOARDWALK EMPIRE 4.3","00248028"
"BOARDWALK EMPIRE 4.4","00248029"
"BOARDWALK EMPIRE 5.1","00248914"
"BOARDWALK EMPIRE 5.2","00248916"
"BOARDWALK EMPIRE 5.3","00248918"
"BOB'S BURGERS 1.1","00249286"
"BOB'S BURGERS 1.2","00243094"
"BOB'S BURGERS 2.1","00249288"
"BOB'S BURGERS 2.2","00249289"
"BOONDOCKS 1.1","00209811"
"BOONDOCKS 1.2","00209812"
"BOONDOCKS 2.1","00221909"
"BOONDOCKS 2.3","00221911"
"BOONDOCKS 3.1","00248272"
"BOONDOCKS 3.2","00237586"
"BOONDOCKS 3.2","00248273"
"BOONDOCKS 3.3","00237587"
"BOONDOCKS 3.3","00248274"
"BORED TO DEATH 1.1","00243918"
"BORED TO DEATH 1.2","00243919"
"BORED TO DEATH 2.1","00241129"
"BORED TO DEATH 2.2","00241130"
"BORED TO DEATH 3.1","00244083"
"BORED TO DEATH 3.2","00244084"
"BORGEN 1.1","00247646"
"BORGEN 1.2","00247647"
"BORGEN 1.3","00247648"
"BORGEN 1.4","00247649"
"BORGEN 2.1","00252402"
"BORGEN 2.2","00252403"
"BORGEN 2.3","00252404"
"BORGEN 2.4","00252405"
"BORGEN 3.1","00252426"
"BORGEN 3.2","00252427"
"BORGEN 3.3","00252428"
"BORGEN 3.4","00252429"
"BORGIAS 1.1","00241988"
"BORGIAS 1.2","00241989"
"BORGIAS 2.1","00245641"
"BORGIAS 2.2","00245642"
"BORGIAS 2.3","00245643"
"BORGIAS 3.1","00246546"
"BORGIAS 3.2","00246547"
"BORGIAS 3.3","00246548"
"BOSTON LEGAL 1.1","00208819"
"BOSTON LEGAL 1.2","00208820"
"BOSTON LEGAL 1.3","00208821"
"BOSTON LEGAL 1.4","00208927"
"BOSTON LEGAL 2.1","00211679"
"BOSTON LEGAL 2.2","00211680"
"BOSTON LEGAL 2.3","00211681"
